session_id,search_id,search_time,total_result_count,next_search_id,next_search_time,next_total_result_count,next_recovered,transition_type,changed_fields,query_text,destination,checkin_date,checkout_date,sort_option,guest_count,property_type,property_grade,user_rating_min,price,amenity_count,region,next_query_text,next_destination,next_checkin_date,next_checkout_date,next_sort_option,next_guest_count,next_property_type,next_property_grade,next_user_rating_min,next_price,next_amenity_count,next_region
S1Wd4jiS4x,QHJY1Vy3gK,2026-08-28 21:10:02,0,QA7bQhTiLs,2026-08-28 21:10:12,0,False,동일조건 반복,,삿포로 스파,,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,150000.0,10,,삿포로 스파,,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,150000.0,10.0,
S1Wd4jiS4x,QA7bQhTiLs,2026-08-28 21:10:12,0,Q0we4ad3p2,2026-08-28 21:10:30,0,False,조건 완화,price,삿포로 스파,,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,150000.0,10,,삿포로 스파,,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,,10.0,
S1Wd4jiS4x,Q0we4ad3p2,2026-08-28 21:10:30,0,Q0Hk8yHrcS,2026-08-28 21:11:16,0,False,검색어 수정,query_text,삿포로 스파,,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,,10,,도쿄,,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,,10.0,
S1Wd4jiS4x,Q0Hk8yHrcS,2026-08-28 21:11:16,0,QvGWKdjvxi,2026-08-28 21:11:22,0,False,동일조건 반복,,도쿄,,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,,10,,도쿄,,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,,10.0,
S1Wd4jiS4x,QvGWKdjvxi,2026-08-28 21:11:22,0,QqyC1G3Ogh,2026-08-28 21:11:28,0,False,조건 완화,amenity_count,도쿄,,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,,10,,도쿄,,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,,9.0,
S1Wd4jiS4x,QqyC1G3Ogh,2026-08-28 21:11:28,0,QeGll1HGG0,2026-08-28 21:12:00,0,False,조건 완화,amenity_count,도쿄,,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,,9,,도쿄,,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,,7.0,
S1Wd4jiS4x,QeGll1HGG0,2026-08-28 21:12:00,0,Q2pHbv607e,2026-08-28 21:12:12,0,False,검색어 수정,query_text,도쿄,,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,,7,,오사카,,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,,7.0,
S1Wd4jiS4x,Q2pHbv607e,2026-08-28 21:12:12,0,QTNHlfQlWK,2026-08-28 21:12:30,0,False,지역 변경,destination|region,오사카,,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,,7,,오사카,Osaka,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,,7.0,Osaka
S1Wd4jiS4x,QTNHlfQlWK,2026-08-28 21:12:30,0,QSVwupeLeB,2026-08-28 21:12:40,0,False,조건 완화,user_rating_min,오사카,Osaka,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,8.0,,7,Osaka,오사카,Osaka,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,7.0,,7.0,Osaka
S1Wd4jiS4x,QSVwupeLeB,2026-08-28 21:12:40,0,Qggs5ViKs6,2026-08-28 21:12:55,0,False,지역 변경,destination|region,오사카,Osaka,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,7.0,,7,Osaka,오사카,Osaka · 신오사카,2026-09-15 00:00:00,2026-09-17 00:00:00,rating,3,,,7.0,,7.0,Osaka · 신오사카
